,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
10,The Ruby Circle,1914,N/A,09 Apr 1914,N/A,"Short, Drama",Robert Z. Leonard,N/A,"Robert Z. Leonard, Hazel Buckham, Allan Forrest, Harry Carter",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0326090,movie,N/A,N/A,N/A,N/A,True,,
11,"Lucille Love, Girl of Mystery",,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
12,Neptune's Daughter,1949,Not Rated,01 Jun 1949,95 min,"Comedy, Musical, Romance",Edward Buzzell,"Dorothy Kingsley, Ray Singer, Dick Chevillat","Esther Williams, Red Skelton, Ricardo Montalban","A swimsuit fashion designer is determined to protect her scatterbrained sister from a South American heartbreaker, but a case of mistaken identity complicates matters.",English,United States,Won 1 Oscar. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNTkwY2VjOWItNGE4Yy00NTJjLTkyMzMtMzY0N2ZmZTJkMTRlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.3,"1,657",tt0041687,movie,05 Aug 2014,N/A,N/A,N/A,True,,
13,Samson,2018,PG-13,16 Feb 2018,110 min,"Action, Drama","Bruce Macdonald, Gabriel Sabloff","Jason Baumgardner, Zach Smith, Galen Gilbert","Taylor James, Billy Zane, Lindsay Wagner","After losing the love of his life to a cruel Philistine Prince, a young Hebrew with supernatural strength defends his people, sacrificing everything to avenge his love, his people, and God.",English,"South Africa, United States",N/A,https://m.media-amazon.com/images/M/MV5BYThiMjg4ZDAtNjk5ZS00ZTUxLThmM2ItMGI0ZTE1NjRhNWNmXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",17,4.5,"4,802",tt6951892,movie,30 Apr 2018,"$4,719,928",N/A,N/A,True,,
14,The Spy,2019,TV-MA,06 Sep 2019,53 min,"Drama, History",N/A,Gideon Raff,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem",Based on the life of Israeli spy Eli Cohen.,"English, Arabic","France, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BM2ZmYjUxZDYtMmZlMi00YjlkLTkwNTItMjcxZDRlOTI3ZTNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"45,635",tt5952634,series,,,,,True,,1
15,The Trey o' Hearts,1914,N/A,04 Aug 1914,310 min,Adventure,"Wilfred Lucas, Henry MacRae","Bess Meredyth, Louis Joseph Vance","Cleo Madison, George Larkin, Edward Sloman","A crippled old man and his daughter plot to kill a young man they mistakenly believe was responsible for the man's injury. Matters get complicated when his other daughter, who is a twin, falls in love with the intended victim.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjJmN2ZlZGEtMGZiMy00YjJjLThhYjMtNzQ3MzIyNmMwOTViXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}]",N/A,2.3,23,tt0004727,movie,N/A,N/A,N/A,N/A,True,,
16,Richelieu,1977–,N/A,13 Oct 1977,52 min,"Biography, History, War",N/A,N/A,"Pierre Vernier, René Clermont, Maria Wimmer",N/A,French,France,N/A,https://m.media-amazon.com/images/M/MV5BNmZhMGM5YmMtN2Y4MC00YTBlLTk5OGYtYzY5NmU4NmEzNmFhXkEyXkFqcGdeQXVyNjE4NTk3Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,38,tt0280304,series,,,,,True,,1
17,When Bess Got in Wrong,1914,N/A,30 Oct 1914,N/A,"Comedy, Short",Al Christie,Bess Meredyth,"Bess Meredyth, Lee Moran, Stella Adams","Bess just can't help flirting. This makes Lee sore. Wherever he takes her, it's the same old story; she flirts and they quarrel. The climax came when he takes her to a party. She had promised she would not flirt with a soul, but w...","None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0324529,movie,N/A,N/A,N/A,N/A,True,,
18,The Master Key,1945,Approved,24 Apr 1945,226 min,"Action, Adventure, Crime","Lewis D. Collins, Ray Taylor","Jack Natteford, Dwight V. Babcock, Joseph O'Donnell","Milburn Stone, Jan Wiley, Dennis Moore","Government agents battle a gang of Nazis who are trying to use the Orotron machine, which can turn seawater into gold.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWJlZTVlNzAtZTk0OS00OTdkLThkMGItYTgxNDczYjVmM2UzXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,83,tt0037904,movie,N/A,N/A,N/A,N/A,True,,
19,The Opened Shutters,1914,N/A,17 Nov 1914,N/A,Drama,Otis Turner,"Clara Louise Burnham, Lois Weber","William Worthington, Frank Lloyd, Herbert Rawlinson","When the story opens Sylvia Lacey has been left an orphan. Her shiftless father, Sam Lacey, of artistic, but weak nature, left her without money. Her mother had died ten years before. The girl writes to her only remaining relative...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzBhMmM1MWQtODNiYi00ZTk4LWI1MDYtNDY0MWQzMzQ2MzFmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0004435,movie,N/A,N/A,N/A,N/A,True,,
20,Damon and Pythias,1962,N/A,01 Jun 1962,99 min,Adventure,Curtis Bernhardt,"Samuel Marx, Franco Riganti, Paola Ojetti","Guy Williams, Don Burnett, Ilaria Occhini","Pythias, a liberal Athenian who believes all men are brothers, is condemned to death by Dionysus, the tyrant of Syracuse, who finds this view dangerous. However, Dionysus allows Pythias to return to Athens to visit his ailing wife...",English,"Italy, United States",N/A,https://m.media-amazon.com/images/M/MV5BODc0YzNkMTYtNWE0Ni00YWM4LTkyYzQtNTdjY2RjMTAyYzAyXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,274,tt0055885,movie,30 Jun 2016,N/A,N/A,N/A,True,,
21,The Mysterious Rose,1914,N/A,24 Nov 1914,20 min,"Mystery, Short",Francis Ford,Grace Cunard,"Grace Cunard, Francis Ford, John Ford","The son of the District Attorney ""has"" something on the crooked ward boss, which makes the latter uneasy. Knowing the young man is infatuated with the adventuress, known as ""My Lady Raffles,"" he approaches her with a proposition t...","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,30,tt0004374,movie,N/A,N/A,N/A,N/A,True,,
22,Called Back,1914,N/A,01 Dec 1914,N/A,Drama,Otis Turner,"Hugh Conway, James Dayton","Herbert Rawlinson, Ann Little, Allan Forrest","Young Anthony March, living in London, inherits a considerable amount of money, but his crooked uncle Dr. Manuel Ceneri steals it. When Anthony gets suspicious, Ceneri's partner in crime, Macari, persuades Ceneri to kill him. Howe...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOTUzODdiODQtNzBmYi00YzM5LTg1ZTgtZWQ5ZmU3NmNjMWE0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0003744,movie,N/A,N/A,N/A,N/A,True,,
23,When Lizzie Got Her Polish,1914,N/A,04 Dec 1914,N/A,"Comedy, Short",Al Christie,Bess Meredyth (story),"Victoria Forde, Eddie Lyons, Lee Moran, Bess Meredyth",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0324533,movie,N/A,N/A,N/A,N/A,True,,
24,The Heart of Lincoln,1915,N/A,09 Feb 1915,50 min,"Drama, History",Francis Ford,Grace Cunard,"Francis Ford, Grace Cunard, William Quinn","During the Civil War, a young man joins the Union army. His sweetheart's brother, on the other hand, joins the Confederate forces. During a battle the Confederate is captured and brought to the young Union officer, who recognizes him","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDVkZTQ4ZjMtNjljMS00MWE1LWIwZDEtYmI1MjQ1MzVkYTJhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0013225,movie,N/A,N/A,N/A,N/A,True,,
25,Three Bad Men and a Girl,1915,N/A,20 Feb 1915,20 min,"Western, Short",Francis Ford,Grace Cunard,"Francis Ford, John Ford, Major Paleolagus, Grace Cunard","The girl is traveling by stage coach to a Western town. The coach is held up and robbed by three desperadoes who make away with the cash of the passengers. When the stage arrives in town, ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,15,tt0006157,movie,N/A,N/A,N/A,N/A,True,,
26,The Phantom of Violin,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
27,The Black Box,2005,N/A,02 Nov 2005,90 min,"Mystery, Thriller",Richard Berry,"Eric Assous, Tonino Benacquista, Richard Berry","José Garcia, Marion Cotillard, Michel Duchaussoy","Images flash through Arthur's brain, voices buzz in his mind, uttering disjointed words and sentences. Arthur Seligman seems to have had an accident but did he run over a little boy or not? And what was he doing near Cherbourg whi...",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMjEzMzM4MjU3NF5BMl5BanBnXkFtZTcwMjQwMjc3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"1,865",tt0414879,movie,N/A,N/A,N/A,N/A,True,,
28,Courtmartialed,1915,N/A,21 May 1915,N/A,Drama,Stuart Paton,Raymond L. Schrock,"Hobart Henley, Frances Nelson, Allen Holubar","Jules, scapegrace son of General Bleriat, overhears a conversation between his father and a messenger about some precious military secrets. At ""The Stag,"" a roulette club where the son spends the evenings, he again loses heavily. ...","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0005148,movie,N/A,N/A,N/A,N/A,True,,
29,Under the Crescent,1915,N/A,01 Jun 1915,N/A,Drama,Burton L. King,Nell Shipman,"Ola Humphrey, William C. Dowlan, Edward Sloman, Helen Wright",A series of six episodes involving the adventures of an American actress in Old Egypt: #1: The Purple Iris; #2: The Cage of the Golden Bars; #3: In the Shadow of the Pyramids; #4: For the ...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0006198,movie,N/A,N/A,N/A,N/A,True,,
30,The Silent Command,1923,N/A,19 Aug 1923,80 min,Drama,J. Gordon Edwards,"Anthony Paul Kelly, Rufus King","Edmund Lowe, Alma Tell, Martha Mansfield","Benedict Hisston is a foreign agent, part of a conspiracy to destroy the Panama Canal and the US Navy's Atlantic Fleet. He attempts to acquire information about mine placement in the Canal Zone from Captain Richard Decatur but fai...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNTQ0N2Q5MjAtNWQ2MC00MjY5LWJlNGYtNDIzYTdmYjU5M2Q1XkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,95,tt0014469,movie,N/A,N/A,N/A,N/A,True,,
31,The White Terror,1915,N/A,18 Jun 1915,N/A,Drama,Stuart Paton,Raymond L. Schrock,"Hobart Henley, Frances Nelson, William Welsh","Emerson Boyd is the owner of the Great Boyd Mills, a relentless scheming, grinding corporation, which employs child labor and disregards all laws of health and sanitation. He is also in control of the Boyd Chemical Company, anothe...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTZkMWUwZTQtNDYwYi00ZmZjLWExZTAtYTU1ZTlmZDQ1OThlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006282,movie,N/A,N/A,N/A,N/A,True,,
32,The Broken Coin,1915,N/A,21 Jun 1915,440 min,"Adventure, Mystery",Francis Ford,"Grace Cunard, Emerson Hough","Grace Cunard, Francis Ford, Eddie Polo","Episode 1: ""The Broken Coin"" Kitty Grey, a reporter, leaves her office for lunch. On her way to the restaurant she sees in an old curiosity shop half of a broken coin, inscribed in Latin. The name ""Gretzhoffen"" attracts her attent...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYzQwMmRjMjMtMzUzMi00NWJlLTg2YTctYmNkZTA2YjBhMGFlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,29,tt0005005,movie,N/A,N/A,N/A,N/A,True,,
33,Conscience,2008,N/A,10 Oct 2008,77 min,Drama,Erden Kiral,Rasit Çelikezer,"Nurgül Yesilçay, Murat Han, Tülin Özen","Aydanur, who works at the factory, has a forbidden love with Mahmut, who married his childhood friend. Hearing this relationship leads to great tragedy.",Turkish,Turkey,7 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BOTUxYjk0NzAtMjAyNS00M2U5LTkyNzYtMTgzZjNjOWEyMTFjXkEyXkFqcGdeQXVyMzUxOTQ2NDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"1,264",tt1198412,movie,N/A,N/A,N/A,N/A,True,,
34,The Marble Heart,1913,Not Rated,13 May 1913,27 min,"Short, Drama",N/A,Charles Selby,"Marguerite Snow, James Cruze, Florence La Badie","Outside the door of the home of a sculptor and his mother, fell a poor, friendless young girl. They took the girl in and cared for her, and as time went on the mother began to regard her as her daughter. The son regarded the affec...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNTNmOTUyOWEtNTdlMi00ZWFiLTgxYWEtMDYyNDhjZWNhOWYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,40,tt0463594,movie,N/A,N/A,N/A,N/A,True,,
35,Scandal,2012–2018,TV-14,05 Apr 2012,31S min,"Drama, Thriller",N/A,Shonda Rhimes,"Kerry Washington, Darby Stanchfield, Katie Lowes",A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.,English,United States,Won 2 Primetime Emmys. 35 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BMTUwMTQyMTIwMV5BMl5BanBnXkFtZTcwNjI1MzU2Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"77,099",tt1837576,series,,,,,True,,7
36,The Garden of Lies,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
37,The Earl of Pawtucket,1915,N/A,26 Jul 1915,50 min,Comedy,Harry Myers,Augustus Thomas,"Lawrence D'Orsay, Rosemary Theby, Harry Myers",N/A,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjMxNTJiYmItZmQyMi00ZWZhLTlkYWYtYjU1N2Q4ZmRmNjM4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005234,movie,N/A,N/A,N/A,N/A,True,,
38,Heritage,2019,N/A,N/A,78 min,Adventure,William von Tagen,William von Tagen,"Bettina Zimmermann, Ralph Herforth, Peter Lohmeyer",A former CIA agent's search for a lost colleague exposes a deadly conspiracy involving his own family and Soviet-era secrets in the mountains of East Germany.,"English, German","United States, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjU5YjdjNTItYzAyNi00ZGIzLWFkNzYtODdhYzc2Y2VkMGVjXkEyXkFqcGdeQXVyNDk5NDA1Njg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,283,tt5183990,movie,31 Dec 2019,N/A,N/A,N/A,True,,
39,The Scarlet Sin,1915,N/A,02 Aug 1915,N/A,Drama,Otis Turner,"James Dayton, Olga Printzlau","Hobart Bosworth, Jane Novak, Frank Elliott","Reverend Eric Norton leaves his position in a fashionable New York congregation to preach in a poor mining town, against the wishes of his wife, Cecelia. Disputes rage about the safety of the mines, which have been closed under press","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZWY3NWY4ZmItOTFlZC00OWNjLTlhMzAtMzAzY2JkYWY1MzBjXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006010,movie,N/A,N/A,N/A,N/A,True,,
40,Judy Forgot,1915,Approved,09 Aug 1915,50 min,Comedy,T. Hayes Hunter,"Avery Hopwood, Raymond L. Schrock","Marie Cahill, Sam Hardy, Belle Daube","A woman who has been in a train wreck and lost her memory is mistaken for a vaudeville star, complete with a husband and several children.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNGJiNzY5ODQtNjAzNS00Mjc2LTk1NWUtNzc1NWY5YzM0MDE5XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005578,movie,N/A,N/A,N/A,N/A,True,,
41,Just Jim,2015,Not Rated,25 Sep 2015,84 min,"Comedy, Drama, Thriller",Craig Roberts,Craig Roberts,"Emile Hirsch, Richard Harrington, Craig Roberts",A Welsh teenager will become the cool kid of the town if a deal is made with his new American neighbour.,English,United Kingdom,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTk3NjE1NzM2Ml5BMl5BanBnXkFtZTgwMzI1NDQ3NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,5.7,"1,898",tt3291148,movie,03 Nov 2015,N/A,N/A,N/A,True,,
42,Mrs. Plum's Pudding,1915,N/A,23 Aug 1915,50 min,"Comedy, Western",Al Christie,"Al Christie, James Dayton, Eddie Lyons","Marie Tempest, W. Graham Brown, Eddie Lyons","After Eddie Plum discovers oil on the family ranch, he and his widowed mother move to the city where they meet Lord Burlington, a British fortune hunter. Burlington introduces the Plums to two socialites, Mrs. Van Zant and Betty, ...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTViZGIxZWEtZGVhYS00Mjg1LWI2NmUtNzMyZDI3MDQwZDM3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005785,movie,N/A,N/A,N/A,N/A,True,,
43,Jewel,2001,N/A,07 Feb 2001,120 min,Drama,Paul Shapiro,"Bret Lott, Susan Cooper","Farrah Fawcett, Patrick Bergin, Cicely Tyson",In the 1940s a 40-year-old woman with four healthy children gives birth to a girl with Down syndrome.,English,"Canada, United Kingdom, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMTBiODY1MTYtODk5Zi00NWIzLTliNmMtODMzMjE3ZTU5OTc4XkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,371,tt0245182,movie,05 Aug 2017,N/A,N/A,N/A,True,,
44,Coral,2015,N/A,06 Mar 2015,15 min,"Short, Drama, Mystery",Giacomo Martelli,"Rocío Lima-Galtém, Giacomo Martelli","Afa Pio Tupua, Joshua Fuimaono Wright, Sina Fuimaono Wright","South Pacific, present day. Fishing in a forbidden coral lagoon, a young Samoan father makes a shocking discovery. Its consequences will be determined by the struggle between his conscience and his cowardice.",Samoan,"Samoa, New Zealand, Italy",3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTUzMzgwNDgzMl5BMl5BanBnXkFtZTgwNDg1NTc0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,5,tt3790908,movie,N/A,N/A,N/A,N/A,True,,
45,A Little Brother of the Rich,1915,N/A,06 Sep 1915,50 min,Drama,Otis Turner,"Joseph Medill Patterson, Otis Turner, Hobart Bosworth","Hobart Bosworth, Jane Novak, J. Edwin Brown","While working his way through college, Paul Potter acquires a flock of wealthy friends who encourage him to give up his hometown fiancée, Sylvia Castle, for Muriel Evers, a flirtatious married woman. After Sylvia releases Paul, an...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTRhNmRlMWYtMDM3Mi00NTJmLWIzZjAtNGU0NjM0NTZkNjgzXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005624,movie,N/A,N/A,N/A,N/A,True,,
46,Business Is Business,1915,N/A,30 May 1915,N/A,"Short, Comedy",N/A,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1416669,movie,N/A,N/A,N/A,N/A,True,,
47,The Suburban,1915,N/A,17 Sep 1915,N/A,Drama,George Lessey,"James Dayton, Charles T. Dazey","King Baggot, William Bailey, Iva Shepard","Robert Gordon, wealthy stock owner, has a home near Sheepshead Bay. His son, Donald, loves the lodge-keeper's daughter. Gordon is informed that Sir Ralph Gordon and his sister are to visit them. Gordon gets the idea that Donald sh...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNGEyNDkzYzUtYWVmMS00ZjI2LWI5MmYtYjk5YzNjM2JiZWM0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0006116,movie,N/A,N/A,N/A,N/A,True,,
48,Under Southern Skies,1913,N/A,05 Apr 1913,N/A,"Documentary, Short",N/A,N/A,N/A,N/A,None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt1356861,movie,N/A,N/A,N/A,N/A,True,,
49,Judge Not; or The Woman of Mona Diggings,1915,N/A,27 Sep 1915,60 min,Drama,Robert Z. Leonard,"Peter B. Kyne, Robert Z. Leonard, Harvey Gates","Julia Dean, Harry Carter, Harry Carey","Impoverished Molly Hanlon is befriended by crooked gambler Lee Kirk, she marries him in a phony ceremony. While frequenting Kirk's gambling den, Molly meets Miles Rand, the dissolute son of Judge Rand, whose obvious attraction for...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjdjYTc0YmUtMmY5ZC00YTQ5LTkwODQtMjU0MDM2MDUzYWMwXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0005575,movie,N/A,N/A,N/A,N/A,True,,
